time,ax,ay,az,aT
1.2000,-0.1192,0.0529,-0.0607,0.144
1.2060,-0.0825,0.0192,0.0798,0.116
1.2100,0.0129,-0.0260,0.0507,0.058
1.2160,0.0577,-0.0284,-0.0399,0.076
1.2230,-0.0091,0.0788,-0.0253,0.083
1.2250,-0.0233,0.0900,0.0223,0.096
1.2300,0.0100,-0.0223,0.0577,0.063
1.2350,0.0005,-0.0624,-0.0424,0.075
1.2400,-0.0706,0.0448,-0.0871,0.121
1.2450,-0.0321,0.1204,0.0868,0.152
1.2500,0.0202,-0.0372,0.0078,0.043
1.2550,-0.0322,-0.1009,-0.0065,0.106
1.2600,-0.0222,-0.0076,-0.0681,0.072
1.2650,-0.0600,0.0470,0.0083,0.077
1.2710,0.0805,0.0325,0.0937,0.128
1.2750,0.0229,-0.0531,-0.0281,0.064
1.2790,-0.0126,0.0019,-0.1750,0.175
1.2840,-0.1144,0.0115,0.0946,0.149
1.2890,0.0097,-0.0503,0.0630,0.081
1.2940,-0.0711,-0.0522,-0.0562,0.105
1.2990,0.0413,0.0622,-0.0842,0.113
1.3040,-0.0493,0.0427,0.1206,0.137
1.3090,0.1456,-0.0170,0.0935,0.174
1.3140,0.0756,-0.0548,-0.0046,0.093
1.3190,0.0823,-0.0234,-0.1920,0.210
1.3250,-0.1011,0.0574,0.2913,0.314
1.3290,0.0087,0.0023,0.0373,0.038
1.3340,-0.0816,0.0307,-0.0508,0.101
1.3400,0.0118,-0.0358,-0.0860,0.094
1.3440,-0.0479,-0.0188,0.1473,0.156
1.3480,0.0853,-0.0709,0.0369,0.117
1.3530,0.0230,0.0649,0.0319,0.076
1.3580,0.0537,0.0881,-0.2437,0.265
1.3630,-0.1247,0.0209,0.1167,0.172
1.3680,0.0827,-0.0932,0.0398,0.131
1.3730,-0.0248,-0.0332,0.0039,0.042
1.3780,-0.0150,0.0383,-0.0840,0.093
1.3820,-0.1405,0.0688,0.0259,0.159
1.3880,0.0694,-0.1215,0.0304,0.143
1.3920,0.0663,-0.0920,0.0705,0.134
1.3970,0.0824,-0.0675,-0.1626,0.194
1.4020,-0.0724,0.0968,0.1021,0.158
1.4080,0.0444,0.0438,0.0894,0.109
1.4130,0.0699,-0.0421,0.0910,0.122
1.4170,0.0670,-0.1129,-0.1399,0.192
1.4220,-0.0902,-0.0384,0.1436,0.174
1.4270,0.0670,0.0426,0.0807,0.113
1.4320,0.0568,0.0778,0.1062,0.143
1.4370,0.0753,-0.0130,-0.1130,0.136
1.4460,-0.0747,0.0109,0.0493,0.090
1.4470,0.0161,-0.0389,0.0417,0.059
1.4520,0.0728,-0.0078,0.1055,0.128
1.4570,0.0153,-0.0268,-0.1849,0.187
1.4620,-0.1555,0.0471,0.0183,0.163
1.4670,-0.0189,-0.0007,0.0277,0.034
1.4730,0.0806,0.0136,0.1484,0.169
1.4770,0.0799,-0.0458,-0.1613,0.186
1.4810,-0.0322,0.0282,-0.0579,0.072
1.4860,-0.0248,0.0587,0.0185,0.066
1.4930,0.0084,0.0131,0.0919,0.093
1.4960,-0.0176,-0.0059,-0.1793,0.180
1.5000,-0.1358,0.0037,-0.0402,0.142
1.5060,-0.0137,0.0156,0.1144,0.116
1.5100,0.0503,-0.0415,0.0161,0.067
1.5170,0.0024,-0.0556,-0.0884,0.104
1.5240,-0.1065,0.0611,-0.0995,0.158
1.5320,-0.0535,0.0463,0.1267,0.145
1.5330,0.0795,-0.0703,0.0402,0.114
1.5360,0.0172,-0.0816,-0.1072,0.136
1.5400,-0.1204,0.0449,-0.0233,0.131
1.5450,-0.1004,0.1086,0.0528,0.157
1.5500,0.0236,-0.0465,-0.0781,0.094
1.5600,0.0233,-0.1030,-0.0276,0.109
1.5610,-0.0242,0.0379,-0.1033,0.113
1.5690,-0.0502,0.0945,0.0755,0.131
1.5700,0.0284,0.0012,-0.0272,0.039
1.5750,-0.0359,-0.0890,-0.0957,0.136
1.5790,-0.0544,-0.0265,-0.0926,0.111
1.5840,-0.0966,0.0544,0.0648,0.128
1.5890,0.0679,0.0041,0.0239,0.072
1.5940,-0.0159,-0.0268,0.0617,0.069
1.5980,0.0080,0.0256,-0.1500,0.152
1.6030,-0.1534,0.0324,0.0150,0.157
1.6090,0.0519,-0.0841,0.0054,0.099
1.6130,-0.0104,-0.0811,0.0243,0.085
1.6180,0.0255,0.0595,-0.0874,0.109
1.6230,-0.1122,0.1374,0.0580,0.187
1.6280,0.0737,-0.0488,0.0433,0.098
1.6330,-0.0266,-0.0793,0.1023,0.132
1.6420,0.0569,-0.0502,-0.1549,0.172
1.6440,-0.1263,0.0665,0.0814,0.164
1.6480,0.0739,-0.0195,0.0854,0.115
1.6530,0.0021,-0.0288,0.0159,0.033
1.6580,0.0568,-0.0286,-0.1693,0.181
1.6630,-0.0884,0.0975,0.0836,0.156
1.6680,0.0855,-0.0266,0.1067,0.139
1.6730,0.0373,0.0022,0.0156,0.041
1.6770,0.0206,-0.0737,-0.1933,0.208
1.6820,-0.1480,-0.0209,0.1618,0.220
1.6870,0.0097,-0.0231,0.0727,0.077
1.6920,0.0974,0.0601,0.0792,0.139
1.6980,0.0800,0.0003,-0.1730,0.191
1.7020,-0.0914,0.0168,0.0349,0.099
1.7080,0.0516,-0.0759,0.1058,0.140
1.7140,0.0512,-0.0278,0.0740,0.094
1.7170,0.0840,-0.0395,-0.2042,0.224
1.7240,-0.0424,-0.0011,0.1084,0.116
1.7270,0.0455,-0.0438,0.0956,0.115
1.7320,0.0593,0.0443,0.1328,0.152
1.7360,0.0803,0.0130,-0.1982,0.214
1.7420,-0.0745,0.0201,0.1001,0.126
1.7460,0.0826,-0.0369,0.1349,0.162
1.7510,0.0888,-0.0176,0.0697,0.114
1.7620,0.0383,-0.0198,-0.1801,0.185
1.7620,-0.1398,0.0871,0.0516,0.173
1.7680,-0.0698,0.0319,0.0464,0.090
1.7800,0.0753,-0.0325,0.0413,0.092
1.7800,0.0462,-0.1082,-0.1204,0.168
1.7810,-0.1178,0.0186,0.0277,0.122
1.7860,-0.1263,0.0850,0.0038,0.152
1.7910,-0.0945,-0.0106,0.0607,0.113
1.7950,-0.0107,-0.0794,-0.1083,0.135
1.8000,-0.0627,-0.0195,0.0397,0.077
1.8070,0.0042,0.0376,0.0655,0.076
1.8110,-0.0007,0.0112,0.0673,0.068
1.8160,-0.0434,-0.0554,-0.0828,0.109
1.8200,-0.1449,-0.0217,-0.0868,0.170
1.8250,-0.0085,0.0686,0.0682,0.097
1.8300,0.0577,0.0206,0.0272,0.067
1.8350,-0.0021,-0.0390,-0.1391,0.144
1.8410,-0.0801,0.0278,-0.1261,0.152
1.8450,-0.1246,0.0229,0.1146,0.171
1.8500,-0.0359,-0.0343,-0.0026,0.050
1.8560,-0.0166,-0.0150,-0.0571,0.061
1.8620,0.0264,0.0658,-0.1278,0.146
1.8650,-0.0190,0.0368,0.0963,0.105
1.8710,0.0901,-0.0346,-0.0801,0.125
1.8760,-0.0127,-0.0107,-0.0391,0.042
1.8790,-0.0149,0.0771,-0.1076,0.133
1.8840,-0.1192,0.0528,0.0736,0.150
1.8900,0.0788,-0.0734,0.0493,0.118
1.8970,-0.0240,-0.0847,-0.0484,0.100
1.8990,0.0381,0.0394,-0.1714,0.180
1.9040,-0.1000,0.0747,0.1124,0.168
1.9090,0.0906,-0.0375,0.0166,0.099
1.9140,-0.0122,-0.0206,-0.0761,0.080
1.9180,-0.0404,-0.0229,-0.1158,0.125
1.9240,-0.1373,0.0295,0.1201,0.185
1.9320,0.0868,-0.0562,0.0455,0.113
1.9330,0.0458,0.0202,-0.0356,0.061
1.9380,0.0765,-0.0132,-0.1302,0.152
1.9430,-0.0475,0.0367,0.1556,0.167
1.9480,0.1000,-0.0397,-0.0141,0.108
1.9520,0.0729,0.0034,-0.0045,0.073
1.9590,0.0677,-0.0465,-0.2560,0.269
1.9660,-0.1299,-0.0342,0.0238,0.136
1.9700,0.0633,-0.0315,0.0734,0.102
1.9730,0.0342,0.0612,-0.0150,0.072
